"Income statement for municipalities, SEK thousands by region, Income statement and year"

"region","Income statement","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"0160 Täby","Total income for operations",399561,387981,444483,431181,521403,518173,573525,605962,616527,679661,733918,833641,771250,809376,846353,816844,814992,934048,1029872,993217,1032577,1152125,1419196,1430225,1364146
"0160 Täby","Total costs for operations",-1653741,-1743166,-1845729,-1960063,-2164750,-2274813,-2329209,-2405019,-2528649,-2690383,-2912031,-3081422,-3195286,-3320690,-3397390,-3504850,-3615729,-3761856,-3967674,-4043314,-5047612,-4261424,-4380368,-4551729,-4700654
"0160 Täby","Total net current costs",-1341007,-1452546,-1507027,-1645202,-1764543,-1864869,-1881710,-1917701,-2030122,-2138904,-2312287,-2344650,-2532677,-2629983,-2686218,-2827300,-2967677,-3001119,-3144291,-3281504,-4290368,-3396228,-3209525,-3385829,-3610446
"0160 Täby","Tax revenues",1381359,1571072,1844572,2087270,2247906,2448078,2434785,2420969,2488908,2615611,2702416,2778821,2812192,2913432,3033322,3163216,3228479,3383492,3597572,3756920,3830084,3986205,4045383,4277090,4591579
"0160 Täby","General grants and equalisation grants",-183183,-224231,-336293,-447192,-565381,-604062,-570480,-423655,-370165,-341966,-351710,-352411,-223403,-216965,-251733,-266349,-244539,-275567,-321154,-339159,-325207,-349210,-248105,-239826,-338866
"0160 Täby","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,240767,587753,651434,642267
"0160 Täby","Financial income",27667,30106,38127,38608,39896,111397,77466,60104,39582,55014,49147,89438,65031,31199,37829,27997,59566,89135,18196,25626,48005,148321,282632,186612,151655
"0160 Täby","Financial costs",-18515,-13248,-43239,-60626,-103257,-59449,-25951,-24995,-9499,-11864,-63683,-8195,-8114,-38342,-15511,-31268,-10971,-11860,-11561,-12709,-62430,-65379,-185870,-77126,-331195
"0160 Täby","Net profit/loss after financial items",-135779,-91397,-5523,-27976,-146238,30054,32564,112629,116676,175479,20971,159637,109249,59341,117689,66296,64858,184081,138762,149174,-799916,323708,684515,760920,462727
"0160 Täby","Net profit/loss for the year",544115,240603,2165,138069,-146238,30054,333979,112629,116676,175479,20971,159637,109249,59341,117689,66296,64858,184081,138762,149174,-799916,323708,684515,760920,462727
"0162 Danderyd","Total income for operations",290257,280795,306778,332332,335460,336977,362364,365922,403241,404819,484939,467350,467731,470021,488228,500516,488308,622002,826472,665336,667134,586365,596268,669606,704452
"0162 Danderyd","Total costs for operations",-907167,-990231,-1051757,-1137338,-1229294,-1283826,-1317137,-1419739,-1455907,-1506980,-1617043,-1695186,-1750121,-1820233,-1820797,-1897065,-1966910,-2072093,-2217125,-2268960,-2333199,-2364025,-2338624,-2423704,-2540681
"0162 Danderyd","Total net current costs",-670554,-772063,-808738,-872511,-968926,-1025501,-1035111,-1134970,-1125965,-1192216,-1225146,-1297468,-1355790,-1430734,-1418017,-1492323,-1573292,-1544209,-1495601,-1715810,-1794748,-1915786,-1864758,-1878635,-1979153
"0162 Danderyd","Tax revenues",807800,921677,1062341,1193615,1344390,1474227,1523926,1470955,1504842,1553319,1635869,1717946,1706548,1731344,1842827,1912367,1930687,2017951,2139426,2221614,2256579,2345511,2601611,2695361,2833709
"0162 Danderyd","General grants and equalisation grants",-125072,-176047,-268481,-323789,-413428,-463839,-432720,-317426,-318590,-338242,-366352,-428384,-347048,-338467,-378839,-391265,-390131,-442047,-503557,-524967,-535099,-524340,-544229,-560525,-656531
"0162 Danderyd","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-94615,192624,256201,198025
"0162 Danderyd","Financial income",26433,41912,38476,32045,17273,48965,33998,23902,20680,25387,11900,16498,16900,10225,7670,7244,40157,7541,17455,4984,3364,26222,32279,40506,29198
"0162 Danderyd","Financial costs",-16062,-17276,-17642,-39828,-78086,-34848,-28347,-12442,-12707,-11789,-13800,-4454,-1648,-21151,-8838,-21076,-6167,-1634,-52,-2132,-8510,-11356,-29117,-9815,-68284
"0162 Danderyd","Net profit/loss after financial items",22247,-2538,5069,-10865,-99644,-1944,60475,28795,67555,34870,40671,1602,15010,-48783,44803,14947,1254,37602,157671,-16311,-78414,-79748,195786,286892,158939
"0162 Danderyd","Net profit/loss for the year",22247,-2538,5069,7635,-99644,-1944,60475,28795,67555,34870,40671,1602,15010,-48783,44803,14947,1254,37602,157671,-16311,-78414,-79748,195786,286892,158939
"0163 Sollentuna","Total income for operations",346445,371280,469592,435995,524434,536848,706966,645099,692210,533648,689806,724384,644988,766174,676337,678693,716446,850377,1019627,1089583,1178301,956986,995469,1254035,1070668
"0163 Sollentuna","Total costs for operations",-1679850,-1757339,-1907490,-2031638,-2249254,-2332153,-2398096,-2443375,-2575034,-2753853,-2939517,-3066516,-3268091,-3413777,-3582088,-3658266,-3859539,-4067454,-4277210,-4389272,-4471688,-4561215,-4963325,-4777066,-4942410
"0163 Sollentuna","Total net current costs",-1391105,-1459252,-1507147,-1679811,-1807650,-1879026,-1776580,-1886165,-1974207,-2328600,-2365306,-2412501,-2707983,-2742463,-3000902,-3075236,-3242123,-3331766,-3378755,-3458006,-3464368,-3797483,-4328086,-3721460,-4130423
"0163 Sollentuna","Tax revenues",1327431,1458565,1614090,1773090,1951539,2127226,2142660,2144357,2244662,2312503,2436297,2525138,2585952,2700536,2821770,2966104,3050914,3210338,3426633,3617033,3703632,3836311,3840362,4076556,4374737
"0163 Sollentuna","General grants and equalisation grants",42055,-9179,-82859,-155611,-246861,-297909,-285147,-133591,-89258,3942,28253,15381,152327,191405,194318,154313,190262,156923,51213,5161,-328,-10000,169170,159922,75753
"0163 Sollentuna","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28828,-318554,515018,320067
"0163 Sollentuna","Financial income",65943,69826,80200,83533,95238,75982,89229,92039,88700,98600,113427,103347,83992,43738,84188,81993,78861,71688,64445,47745,32281,30287,451739,49539,82563
"0163 Sollentuna","Financial costs",-4422,-8354,-9400,-50362,-107345,-9111,-7327,-11672,-25600,-19300,-18579,-26538,-19493,-23314,-16676,-50505,-10569,-9849,-6003,-5027,-2544,-3443,-4270,-29590,-57819
"0163 Sollentuna","Net profit/loss after financial items",38685,49723,93484,-30060,-116211,15709,161153,203059,242497,65045,191520,201942,91668,169902,82698,76669,67345,97334,157533,206906,268673,55672,128915,534967,344811
"0163 Sollentuna","Net profit/loss for the year",38685,49723,93484,309687,-116211,771766,161153,203059,242497,65045,191520,201942,91668,169902,82698,76669,67345,97334,157533,206906,268673,55672,128915,534967,344811
"0180 Stockholm","Total income for operations",6787695,7590001,8254850,8381564,8146244,7778051,8493044,8546108,9205016,9533712,10383512,10860743,11622391,11102295,11776187,12178518,13135195,13174350,17715077,17591072,16379801,15937641,16613142,16061451,14871657
"0180 Stockholm","Total costs for operations",-28093903,-27573143,-27966401,-29316013,-30916805,-32503988,-33780711,-34733633,-36751910,-36897293,-38269027,-41608015,-43904224,-43534550,-43919771,-45812950,-47122611,-49756645,-53772288,-57497564,-57518635,-58217936,-58512128,-61893323,-63083696
"0180 Stockholm","Total net current costs",-22278787,-20797580,-20387213,-21574520,-23533669,-25690845,-26285999,-27320894,-28571140,-29220057,-29335603,-31374178,-32948865,-33174779,-33018673,-34553327,-34967527,-37806168,-37230088,-41228802,-42592543,-43858953,-43613802,-47927692,-51173224
"0180 Stockholm","Tax revenues",17169575,18103711,19899457,21709535,23196543,25475074,25748906,25811188,27199697,28073540,29537195,30273351,31037327,32502963,34178445,35866592,37236737,40337826,43585317,46252082,47714036,49184845,50098389,53261240,57006712
"0180 Stockholm","General grants and equalisation grants",2660088,2543334,1780789,889240,-154580,-1076663,-1199547,-41933,-39789,196537,38806,-170313,1379914,1322887,722317,111725,-339231,-1379184,-2374583,-3534486,-3745339,-4066948,-2363464,-2716931,-3999524
"0180 Stockholm","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1258943,4121123,2616617,1833964
"0180 Stockholm","Financial income",3054600,1777386,2107513,2415319,3549010,3168053,2295862,1970119,2172650,2632247,2795691,2503096,2270852,1355257,2190640,3308292,2429781,1579896,1315055,1598011,2450471,2199777,1556680,1099509,1964782
"0180 Stockholm","Financial costs",-2530800,-1672053,-1385008,-1432560,-2171417,-1697036,-1032789,-901292,-1045800,-1535601,-1389444,-970270,-737350,-1125070,-1035424,-1288886,-909377,-808387,-652829,-725662,-650223,-731131,-724502,-1601371,-1194023
"0180 Stockholm","Net profit/loss after financial items",-1954765,-79793,1985106,1953149,823687,178583,-507761,-482812,-284382,146666,1646645,120371,947650,881258,3037305,3444396,3450383,1923983,4642872,2361143,3176402,2727590,4953301,2114755,2604723
"0180 Stockholm","Net profit/loss for the year",-675765,-309793,-2837,325247,1664868,78583,-284354,-163445,975989,-51112,575239,120371,947650,881258,3037305,3444396,3450383,1923983,4642872,2361143,3176402,2727590,4953301,2114755,2604723
"0181 Södertälje","Total income for operations",640413,673957,684800,735283,777745,776725,762078,827139,861018,856316,831371,949683,853564,830520,826336,920626,881020,1001062,1140736,1103905,1149349,1088361,1377285,1099506,1188807
"0181 Södertälje","Total costs for operations",-2642066,-2627690,-2705977,-2924449,-3165619,-3276017,-3393570,-3622827,-3847886,-4193742,-4511320,-4811250,-4809506,-5030402,-5269690,-5397208,-5600956,-5852511,-5969274,-6207397,-6555656,-6797648,-7121943,-6963318,-7367943
"0181 Södertälje","Total net current costs",-2146621,-2096489,-2176923,-2342872,-2556354,-2666353,-2759860,-2907592,-3097908,-3485335,-3823273,-3936623,-4032190,-4276782,-4530134,-4576184,-4818407,-4947620,-4926551,-5195095,-5510650,-5830050,-5915887,-6001392,-6323456
"0181 Södertälje","Tax revenues",1842511,1763133,1905719,2049766,2136132,2240594,2360602,2414949,2572295,2642772,2776790,2804897,2855641,2890456,2999453,3112492,3210643,3387238,3532064,3704477,3806109,3982593,4052030,4324795,4570332
"0181 Södertälje","General grants and equalisation grants",309546,321551,300541,288381,319870,319948,340727,474271,535947,661301,840366,967297,1127989,1309882,1411695,1510587,1609845,1656166,1743057,1849431,1873979,1863159,2064983,2082489,2158585
"0181 Södertälje","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15702,201126,405892,405461
"0181 Södertälje","Financial income",128278,125800,171035,253526,259322,367202,474115,509074,526538,644737,866745,677892,707098,994853,1031592,913312,783410,329165,311943,257996,268166,237982,190087,212008,327354
"0181 Södertälje","Financial costs",-164368,-153753,-175432,-189300,-192577,-247562,-367440,-363098,-376478,-488679,-685217,-523979,-548607,-859305,-887090,-819959,-669152,-272302,-244591,-188349,-202358,-188800,-125049,-164278,-274688
"0181 Södertälje","Net profit/loss after financial items",-32654,-41647,22018,57304,-37189,10255,44312,125386,156830,-30141,-31087,-22068,106024,59104,25516,140248,116339,152647,415922,428460,235246,64884,266164,453621,458127
"0181 Södertälje","Net profit/loss for the year",-32654,-41647,644460,57304,-37189,10255,260245,125386,156830,-30141,-31087,-22068,106024,59104,25516,140248,116339,152647,415922,428460,235246,64884,266164,453621,458127
"0182 Nacka","Total income for operations",496456,528044,584078,631796,675504,698429,780027,791265,802698,750882,889684,883057,889724,878464,1026678,1078813,2373383,1223681,1437762,1916553,1235883,1708895,2019549,2077929,1754224
"0182 Nacka","Total costs for operations",-2158366,-2303303,-2414245,-2596730,-2800624,-2966674,-3097782,-3147059,-3337404,-3554210,-3817347,-4016577,-4317558,-4600395,-4735866,-5004046,-5265722,-5534589,-5935514,-6140720,-6240462,-6538368,-6871623,-6919791,-7271833
"0182 Nacka","Total net current costs",-1764565,-1874700,-1950761,-2093878,-2258836,-2423736,-2488516,-2537659,-2721365,-3017127,-3137484,-3283421,-3591840,-3904923,-3920279,-4161302,-3147355,-4532797,-4719251,-4424078,-5225271,-5092328,-5111824,-5103922,-5803524
"0182 Nacka","Tax revenues",1718913,1853973,2052256,2258109,2452429,2725950,2788553,2812895,2991088,3152668,3368620,3536543,3631122,3776273,4069040,4327237,4451175,4691529,4996588,5239157,5408025,5599443,5665426,6020737,6434654
"0182 Nacka","General grants and equalisation grants",42439,11053,-65425,-153862,-256495,-340555,-353221,-155224,-121933,-5654,-12625,-91021,82465,123793,22327,-21534,8643,-64883,-70453,-107234,-114899,-26682,160359,35774,-63948
"0182 Nacka","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,480433,713961,952589,567182
"0182 Nacka","Financial income",11526,13900,15922,14796,14858,14910,14820,14363,14774,15862,16711,14857,14706,24180,15436,30491,14925,16234,22204,28747,38035,42004,37580,62112,72730
"0182 Nacka","Financial costs",-20475,-11558,-11083,-10145,-17165,-18593,-14071,-11075,-11268,-17345,-25717,-8732,-6837,-44679,-63901,-90937,-57118,-18726,-53984,-39800,-16054,-59562,-71997,-57311,-128149
"0182 Nacka","Net profit/loss after financial items",-13823,-10074,37611,10800,-70100,-47245,-57901,117987,145668,123571,203004,156642,125442,-25356,122623,83955,1270270,91357,175104,696792,89836,462875,679544,957390,511763
"0182 Nacka","Net profit/loss for the year",13484,64278,37611,23689,-70101,-42731,-57901,117470,145668,123571,203004,156642,125442,-54037,122623,83955,420270,91357,175104,696792,89836,462875,679544,540076,511763
"0183 Sundbyberg","Total income for operations",241668,234580,227487,314668,229935,261846,309585,362844,368831,425835,373582,502026,468329,534489,394120,452563,423576,688506,650975,728249,737470,603957,777692,541475,518717
"0183 Sundbyberg","Total costs for operations",-1019149,-1072092,-1090619,-1161107,-1229449,-1321285,-1348330,-1383391,-1426972,-1464481,-1543816,-1674501,-1763901,-1833830,-1936490,-2034087,-2160139,-2344783,-2543165,-2599837,-2794881,-2878027,-2957610,-2997729,-2981007
"0183 Sundbyberg","Total net current costs",-812879,-875065,-899021,-894575,-1050035,-1115106,-1096120,-1089296,-1124409,-1113799,-1260785,-1234481,-1365967,-1376476,-1633118,-1669431,-1852046,-1778753,-2043079,-2004443,-2197359,-2408659,-2333303,-2638084,-2699379
"0183 Sundbyberg","Tax revenues",720029,784483,869946,1001233,1096163,1184810,1194202,1176522,1227644,1260985,1318088,1332710,1357218,1426508,1528799,1607840,1670640,1789881,1945513,2111619,2280111,2442436,2538347,2761445,3015198
"0183 Sundbyberg","General grants and equalisation grants",60046,42939,8621,-39652,-99754,-156590,-162205,-112517,-98750,-45368,-35304,-21241,129512,103795,67110,79391,130910,104104,143755,66766,-35215,-144722,-25191,-152984,-238807
"0183 Sundbyberg","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-110945,179853,-29624,77012
"0183 Sundbyberg","Financial income",25871,39399,35692,39526,33627,36250,31651,51096,49751,53483,54232,54209,35448,36350,38110,33174,57094,23395,20832,109597,107137,207303,32978,147037,127079
"0183 Sundbyberg","Financial costs",-10367,-10726,-7375,-11364,-20629,-9797,-8306,-12203,-16385,-15596,-31181,-12757,-5919,-22827,-5261,-20424,-4965,-3760,-3215,-47317,-27278,-20149,-30660,-59254,-177888
"0183 Sundbyberg","Net profit/loss after financial items",-17996,-20145,6191,94497,-40352,-60613,-42555,12085,36157,135830,42791,114237,148737,167350,-4360,30550,1633,134867,63806,236222,127396,76209,182171,58159,26203
"0183 Sundbyberg","Net profit/loss for the year",-17996,-20145,6191,94497,-40352,-60613,564321,197124,36157,135830,42791,114237,148737,167350,-4360,30550,1633,134867,63806,236222,127396,76209,182171,58159,26203
"0184 Solna","Total income for operations",360081,509704,374869,423046,418256,690481,531136,559811,638764,618992,550438,662560,666251,699289,691350,916450,811411,841925,1027195,994524,894193,903425,1368272,1440231,1238917
"0184 Solna","Total costs for operations",-1591004,-1676968,-1690322,-1784916,-1905599,-2067768,-2112634,-2189864,-2245903,-2397436,-2509092,-2661391,-2710726,-2786162,-3086414,-3114060,-3149262,-3328625,-3542649,-3575828,-3655325,-3820180,-3784787,-3874993,-3953912
"0184 Solna","Total net current costs",-1286789,-1295782,-1385327,-1440473,-1557343,-1651249,-1657889,-1710721,-1678109,-1875843,-2068168,-2073098,-2121741,-2167345,-2476923,-2381406,-2422915,-2624156,-3104413,-2699566,-2893395,-3065946,-2583012,-2602304,-2885292
"0184 Solna","Tax revenues",1229003,1323818,1431998,1575602,1700879,1820318,1867588,1900787,2023609,2106280,2247503,2315302,2430710,2582635,2715589,2831129,2950559,3135035,3368220,3563306,3731345,3953775,4044278,4348016,4676988
"0184 Solna","General grants and equalisation grants",10666,-30695,-90196,-151903,-235473,-294074,-302276,-257936,-266448,-271450,-295840,-336617,-274037,-364877,-362760,-388099,-398435,-486580,-568928,-611872,-691182,-800661,-712543,-756251,-903555
"0184 Solna","Net profit/loss for operations",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87168,748723,989461,888141
"0184 Solna","Financial income",26518,24541,54836,83295,90713,132840,116165,168560,191900,220864,139592,195313,123203,103175,141267,152292,135676,63655,225258,71718,237399,411962,312127,755640,179314
